,Name,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/Match,Avg. Double Faults/Match
0,Nick Kyrgios,305.7,67.8%,78.8%,55.7%,91.5%,16.0,4.1
1,Hubert Hurkacz,295.7,62.9%,79.8%,51.3%,88.2%,15.8,2.3
2,Novak Djokovic,292.8,65.8%,77.8%,56.8%,88.5%,6.2,2.3
3,Nicolas Jarry,291.3,64.7%,77.6%,54.4%,87.6%,9.1,2.1
4,Stefanos Tsitsipas,289.3,64.9%,77.1%,54.6%,87.7%,7.1,2.1
5,Christopher Eubanks,287.7,69.9%,74.1%,50.2%,85.4%,11.3,3.2
6,Matteo Berrettini,287.5,62.1%,79.2%,51.0%,87.3%,9.8,1.9
7,Felix Auger-Aliassime,286.9,62.9%,79.4%,50.1%,87.3%,10.9,3.7
8,Pablo Carreno Busta,286.2,65.4%,72.4%,58.4%,85.9%,6.0,1.9
9,Taylor Fritz,285.1,59.7%,78.9%,53.1%,86.2%,9.4,2.2
10,Quentin Halys,282.8,58.7%,79.5%,49.3%,86.3%,12.7,3.7
11,Brandon Nakashima,282.5,66.3%,75.2%,51.6%,83.8%,7.2,1.6
12,Maxime Cressy,282.2,57.4%,80.3%,51.6%,88.1%,15.1,10.3
13,Casper Ruud,281.2,64.1%,73.3%,55.9%,84.6%,5.6,2.3
14,Alexei Popyrin,280.8,61.4%,76.9%,50.2%,84.5%,10.9,3.1
15,Daniil Medvedev,280.5,64.1%,75.1%,51.7%,85.5%,7.6,3.5
16,Tallon Griekspoor,280.1,63.8%,75.2%,51.3%,84.8%,8.2,3.2
17,Frances Tiafoe,279.4,58.2%,76.1%,53.4%,85.3%,8.8,2.4
18,Ben Shelton,278.8,60.9%,77.0%,51.4%,84.1%,10.3,4.9
19,Carlos Alcaraz,278.3,66.9%,70.9%,55.4%,83.8%,3.5,2.2
20,Karen Khachanov,278.2,63.7%,73.1%,52.9%,83.0%,7.8,2.3
21,Lorenzo Sonego,278.1,66.3%,73.8%,50.9%,83.4%,5.6,1.9
22,Andrey Rublev,278.0,61.1%,76.0%,50.8%,84.2%,7.8,1.9
23,Yannick Hanfmann,277.5,66.9%,69.2%,55.1%,82.4%,5.2,1.3
24,Holger Rune,276.7,62.7%,73.2%,54.3%,85.1%,5.2,3.8
25,Stan Wawrinka,276.6,57.7%,75.4%,53.5%,83.4%,8.2,1.6
26,Marc-Andrea Huesler,276.5,61.0%,74.1%,53.1%,82.1%,8.3,2.1
27,Arthur Rinderknech,276.3,64.8%,73.5%,49.2%,83.0%,8.1,2.3
28,Sebastian Korda,276.0,63.0%,72.4%,52.4%,82.9%,7.5,2.2
29,Jan-Lennard Struff,275.4,58.1%,76.1%,51.0%,84.4%,9.6,3.8
30,Grigor Dimitrov,274.2,61.1%,76.8%,49.5%,82.1%,7.7,3.0
31,Jannik Sinner,274.1,57.7%,74.8%,54.8%,83.6%,5.7,2.5
32,Roberto Bautista Agut,273.3,65.1%,70.2%,55.6%,80.9%,3.3,1.8
33,Benjamin Bonzi,273.2,61.8%,73.2%,51.6%,82.4%,6.9,2.7
34,Alexander Zverev,273.0,68.3%,73.7%,45.9%,81.2%,7.6,3.7
35,Borna Coric,272.9,60.3%,75.2%,51.5%,82.0%,5.9,2.0
36,Tommy Paul,272.6,64.0%,70.6%,53.9%,81.2%,5.1,2.2
37,Thiago Monteiro,272.3,62.0%,73.0%,51.7%,80.7%,7.0,2.1
38,Jack Draper,272.3,59.7%,74.4%,50.3%,83.2%,7.6,2.9
39,Cameron Norrie,271.5,65.0%,71.5%,51.5%,80.9%,4.7,2.1
40,Lorenzo Musetti,271.0,63.7%,70.8%,54.2%,80.1%,4.0,1.8
41,Christopher O'Connell,270.9,61.3%,73.8%,49.8%,81.0%,7.1,2.1
42,J.J. Wolf,270.4,59.8%,73.6%,51.6%,81.3%,7.2,3.1
43,Gregoire Barrere,270.0,60.9%,71.1%,54.4%,81.8%,4.0,2.2
44,Denis Shapovalov,269.7,58.1%,77.0%,50.4%,82.6%,8.1,6.5
45,Tomas Martin Etcheverry,268.9,62.9%,70.3%,52.3%,79.2%,5.9,1.7
46,Alexander Bublik,268.7,59.6%,77.4%,45.4%,81.3%,11.8,6.8
47,Adrian Mannarino,268.5,60.3%,71.7%,54.2%,79.7%,4.8,2.2
48,Marcos Giron,268.2,61.8%,71.7%,51.8%,79.2%,5.1,1.4
49,Jason Kubler,268.2,62.2%,71.3%,51.6%,79.7%,6.0,2.6
50,Jiri Lehecka,267.4,64.9%,70.4%,51.0%,78.4%,5.1,2.4
51,Mackenzie McDonald,267.1,65.1%,69.4%,51.0%,78.2%,5.5,2.1
52,Laslo Djere,264.8,59.5%,72.6%,49.6%,79.8%,6.6,3.3
53,Miomir Kecmanovic,264.1,61.2%,68.3%,54.2%,77.8%,4.2,1.6
54,Daniel Evans,263.6,61.6%,71.2%,51.1%,78.4%,4.2,2.9
55,Pedro Cachin,263.3,62.9%,71.4%,48.1%,76.6%,6.5,2.2
56,Alex de Minaur,262.9,57.9%,71.5%,52.8%,80.3%,3.2,2.8
57,Dominic Thiem,262.5,61.8%,69.0%,52.9%,77.0%,4.3,2.5
58,Emil Ruusuvuori,262.5,63.9%,70.0%,50.1%,76.4%,4.6,2.5
59,Alejandro Davidovich Fokina,262.3,66.3%,66.1%,52.3%,76.6%,3.1,2.1
60,Ugo Humbert,262.2,59.9%,71.8%,48.4%,79.3%,6.0,3.2
61,Yoshihito Nishioka,262.2,65.8%,64.6%,55.6%,75.7%,2.2,1.7
62,Richard Gasquet,261.9,58.9%,71.4%,51.3%,78.2%,5.1,3.0
63,Albert Ramos-Vinolas,261.3,64.2%,67.6%,51.7%,76.8%,2.9,1.9
64,Sebastian Baez,260.2,71.3%,63.6%,53.8%,71.8%,1.4,1.7
65,Marton Fucsovics,259.4,59.7%,70.4%,50.7%,77.7%,5.0,4.1
66,Andy Murray,259.3,60.9%,71.2%,48.5%,76.2%,5.3,2.8
67,Aslan Karatsev,258.5,60.3%,71.5%,49.3%,77.0%,5.0,4.6
68,Dusan Lajovic,258.1,66.4%,67.9%,47.6%,75.1%,2.6,1.5
69,Francisco Cerundolo,257.2,64.0%,68.0%,49.6%,76.4%,2.5,3.3
70,Cristian Garin,257.0,61.5%,68.5%,50.7%,75.7%,3.2,2.6
71,Roberto Carballes Baena,256.5,63.2%,66.2%,52.2%,74.9%,2.4,2.4
72,Ilya Ivashka,255.7,62.0%,68.6%,48.8%,75.4%,3.8,2.9
73,Mikael Ymer,255.1,69.6%,63.8%,50.2%,72.5%,1.9,2.9
74,Alex Molcan,255.0,64.6%,65.3%,51.8%,72.9%,3.0,2.6
75,Botic van de Zandschulp,252.0,61.5%,70.5%,44.6%,74.1%,6.1,4.8
76,Pedro Martinez,245.9,65.9%,63.8%,49.3%,69.9%,1.5,4.5
77,Bernabe Zapata Miralles,242.2,65.1%,63.1%,46.7%,67.3%,1.8,1.8
78,Jaume Munar,241.9,65.2%,65.7%,44.3%,67.7%,2.4,3.4
79,Diego Schwartzman,238.9,67.7%,61.3%,46.4%,65.8%,1.1,3.4
80,Fabio Fognini,235.6,59.2%,64.5%,47.3%,66.5%,3.3,5.2
